date,ticker,price,decision,rsi,sentiment,reason
2025-12-19,ADA-USDT,0.38,buy,39,undefined,"P80R40"
2025-12-19,BNB-USDT,856.17,hold,44,undefined,"W9"
2025-12-19,BTC-USDT,88136.94,hold,45,undefined,"W9"
2025-12-19,DOGE-USDT,0.13,hold,43,undefined,"W9"
2025-12-19,DOT-USDT,1.85,buy,33,undefined,"P80R40"
2025-12-19,ETH-USDT,2979.50,hold,47,undefined,"W9"
2025-12-19,LTC-USDT,77.49,buy,39,undefined,"P80R40"
2025-12-19,SOL-USDT,126.27,hold,44,undefined,"W9"
2025-12-19,XRP-USDT,1.91,hold,41,undefined,"W9"
2025-12-20,ADA-USDT,0.37,sell,38,undefined,"NEG65"
2025-12-20,BNB-USDT,854.17,hold,43,undefined,"W-11"
2025-12-20,BTC-USDT,88360.90,hold,45,undefined,"W-11"
2025-12-20,DOGE-USDT,0.13,hold,43,undefined,"W-11"
2025-12-20,DOT-USDT,1.83,sell,32,undefined,"NEG65"
2025-12-20,ETH-USDT,2977.93,hold,47,undefined,"W-11"
2025-12-20,LTC-USDT,77.84,sell,40,undefined,"NEG65"
2025-12-20,SOL-USDT,125.81,hold,43,undefined,"W-11"
2025-12-20,XRP-USDT,1.93,hold,43,undefined,"W-11"
2025-12-21,ADA-USDT,0.37,buy,37,undefined,"P80R40"
2025-12-21,BNB-USDT,858.64,hold,44,undefined,"W11"
2025-12-21,BTC-USDT,88658.86,hold,46,undefined,"W11"
2025-12-21,DOGE-USDT,0.13,hold,42,undefined,"W11"
2025-12-21,DOT-USDT,1.80,buy,31,undefined,"P80R40"
2025-12-21,ETH-USDT,3002.02,hold,48,undefined,"W11"
2025-12-21,LTC-USDT,76.79,buy,38,undefined,"P80R40"
2025-12-21,SOL-USDT,126.03,hold,44,undefined,"W11"
2025-12-21,XRP-USDT,1.92,hold,42,undefined,"W11"
2025-12-22,ADA-USDT,0.37,sell,38,undefined,"MAX6"
2025-12-22,BNB-USDT,858.66,hold,44,undefined,"W11"
2025-12-22,BTC-USDT,88620.79,hold,46,undefined,"W11"
2025-12-22,DOGE-USDT,0.13,hold,43,undefined,"W11"
2025-12-22,DOT-USDT,1.78,sell,31,undefined,"MAX6"
2025-12-22,ETH-USDT,3009.49,hold,48,undefined,"W11"
